team,platform,odd,market,source_url
Espanha,Sportingbet,5.5,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Espanha,Betano,5.1,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Espanha,Bet365,5.5,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Espanha,Novibet,5.5,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Espanha,Superbet,5.5,winner,
Espanha,Segurobet,5.5,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Espanha,Betfair,5.5,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
França,Sportingbet,5.5,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
França,Betano,5.9,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
França,Bet365,6.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
França,Novibet,6.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
França,Superbet,6.0,winner,
França,Segurobet,6.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
França,Betfair,5.5,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Brasil,Sportingbet,9.0,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Brasil,Betano,9.75,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Brasil,Bet365,9.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Brasil,Novibet,9.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Brasil,Superbet,9.5,winner,
Brasil,Segurobet,9.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Brasil,Betfair,9.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Inglaterra,Sportingbet,7.5,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Inglaterra,Betano,7.6,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Inglaterra,Bet365,8.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Inglaterra,Novibet,7.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Inglaterra,Superbet,8.0,winner,
Inglaterra,Segurobet,7.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Inglaterra,Betfair,8.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Argentina,Sportingbet,9.0,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Argentina,Betano,10.25,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Argentina,Bet365,10.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Argentina,Novibet,11.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Argentina,Superbet,9.5,winner,
Argentina,Segurobet,10.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Argentina,Betfair,11.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Alemanha,Sportingbet,15.0,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Alemanha,Betano,14.5,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Alemanha,Bet365,15.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Alemanha,Novibet,16.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Alemanha,Superbet,14.0,winner,
Alemanha,Segurobet,15.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Alemanha,Betfair,13.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Portugal,Sportingbet,10.0,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Portugal,Betano,10.0,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Portugal,Bet365,10.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Portugal,Novibet,10.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Portugal,Superbet,9.5,winner,
Portugal,Segurobet,10.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Portugal,Betfair,11.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Holanda,Sportingbet,21.0,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Holanda,Betano,22.0,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Holanda,Bet365,21.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Holanda,Novibet,21.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Holanda,Superbet,20.0,winner,
Holanda,Segurobet,21.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Holanda,Betfair,15.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
Noruega,Sportingbet,29.0,winner,https://www.sportingbet.bet.br/pt-br/sports/futebol-4/aposta/mundo-6/copa-do-mundo-2026-0:14
Noruega,Betano,26.0,winner,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/?bt=winner
Noruega,Bet365,26.0,winner,https://www.bet365.bet.br/?_h=ieT5RNP5fOxtOSz2MO8rLQ%3D%3D&btsffd=1#/AC/B1/C172/D1/E83923269/F2/
Noruega,Novibet,26.0,winner,https://www.novibet.bet.br/apostas-esportivas/futebol/4372606/world-cup/world-cup-2026/6748756?t=6748671
Noruega,Superbet,35.0,winner,
Noruega,Segurobet,26.0,winner,https://www.seguro.bet.br/esportes/match/outright/Soccer/World/20896/21337821?btag=1783729_l361932
Noruega,Betfair,26.0,winner,https://www.betfair.bet.br/apostas/futebol/fifa-copa-do-mundo/c-12469077?tabId=ZxEP2hIAACIAf7_A#populares-de-longo-prazo
